ip,total_requests,first_seen,last_seen,is_hidden,is_googlebot_like
66.249.70.38,195,2024-10-04 02:47:52,2024-10-04 02:48:46,True,False
66.249.70.39,75,2024-10-04 02:47:51,2024-10-04 02:48:45,False,False
52.167.144.190,23,2024-10-04 02:47:58,2024-10-04 02:48:40,False,False
66.249.70.32,6,2024-10-04 02:47:58,2024-10-04 02:48:00,False,False
213.180.203.69,1,2024-10-04 02:48:01,2024-10-04 02:48:01,False,False
5.255.231.117,1,2024-10-04 02:48:26,2024-10-04 02:48:26,False,False
95.108.213.189,1,2024-10-04 02:48:21,2024-10-04 02:48:21,False,False
