user_id,session_id,event_index,previous,current,delta,type
"!z>eY,,#X/PO4bdxJxHY)!.q""; =;?`?[N`oMC","oJGTj(Z""V3&8``s~\LB]r8%kYd1#3\pM:sI6zE:stA",2,2,4,2,skip
""" #?-uh?C%DHdWj6'/~ZLEE1N{""oU1RgGg`\kM","r8Aw<i40y!{e1#)F>>m1qI+Pc]""}AX\S-g'(C$X/J'",8,8,10,2,skip
"""%^H03MD4k$t{^?l[fysnH{F8a4W![n@l|.(Gx","M$,p;%Usc>YR-4K8QTf\YkAj,G?,2uS&?&icS%:q'H",3,4,6,2,skip
"""2$?r7}2sM6.$8O)<gUtht\J<h}xEQJ. D7D$;",{\Ob0wHBhin~!rwL*n?2CG(2Wkk`SIz<lulu<:}*@M,2,2,4,2,skip
"""FM]D)HB&|.Q0N^[&eIY#/]9T~qrFT9aCx\U[<","drpY`:bP5/{AyDWj=%P[1/mI (&IyzO.B/<pEu,\/F",1,5,8,3,skip
"""FM]D)HB&|.Q0N^[&eIY#/]9T~qrFT9aCx\U[<","drpY`:bP5/{AyDWj=%P[1/mI (&IyzO.B/<pEu,\/F",3,9,11,2,skip
"""d-QR]+9m~W3ldw_C1%N?_]dL=(H gn2tJe ei","jf,W(pcJs/>.s9DFYXDD-hL.=l|2MwcUacHWv_!3V}",3,3,5,2,skip
"""d-QR]+9m~W3ldw_C1%N?_]dL=(H gn2tJe ei","jf,W(pcJs/>.s9DFYXDD-hL.=l|2MwcUacHWv_!3V}",7,8,11,3,skip
# =OktM~f5GntDkhIo`s#bXN61]Y7:ZJn9- fL,rB1EKYHm:-Xydoc+sa%opg\rL-.wjUkT*Msz*RYY%2,2,6,11,5,skip
"#+q?ez/)9YP~5V""(y""GC'l4H0ML2^_W 2g[wnK",I^7BPeU_=^EF#.DWZ.1S6{W?G?6SJ; f%IE(i5[v@2,1,1,7,6,skip
"#04W(4Ot<~k-fFt@,d[E:J=i3+2_BY_FKpp,4k","yvd,/YHR]GNz.IR)hltwMn'?3/z'3X[nOMj4'RiQRI",2,3,5,2,skip
#1k^m*uxA?Uw}!|2RKtcRmm]hpd?8S~IB10ld!,"|Ta""L)||IvvD}#>@AvOs%;Nxqx[B8o.de:?h2&_0%t",1,1,4,3,skip
#H$BSQ!RY>9b]*F*oPS6ED{9wHd-q8ZT]|c72n,"9V.[`ng^AUvs7c*4GOSe#Q`p""V$PTA2xW$j$h:/>l,",3,3,5,2,skip
#O4[in)vwK)$ULO/UUwpSn.(2Q%8I$19/j6J;w,[k-W>KIfQ7Za'HO5#!Zi0ceZbpR};`(&2 ay#U|L\v,2,2,4,2,skip
#PpL|G5^o(Qu+a*64i#tNF/V:qm\3(#dWbkyY2,P))Zb6` D*ltj8:>^j.apRPU?XmZM'5!<Zce^eeS//,9,5,7,2,skip
#\Hg%xXi8gaR+c[F;HE#XjqJJr[ U._ljpNo'*,"rkYphYgr""Jck@f3`6$>9q%ajfbmV5BWKhk*[M;Ua&b",2,2,4,2,skip
"#p%tyb*LVqM.#-q8?n`<^O=C3WxO\tfx""(T[A[","=h*W_rd-*><&|O""d@j*E%jJ@!\,bgrn{_1BRg7+EHM",3,2,4,2,skip
#pbM|P$[X8H~\h8U/~I\h=2JiCF.O%A4Db:PrL,#v}l-=Y:R!|3v&(y5f82i.xEUa$*/:&2SE&P5e79?d,1,2,1,-1,reset
"$1y_ea<w{wfzO,uM0MHFrTS""vw%8{u*RWS)7""!",PP.~TZ9-;F<@>m!EH?dCL*U_73>ejp e5zeYt*ZgEZ,7,6,8,2,skip
$2g6h{z4H$ d0xDx2i{DJnGA=p\<FoPpFJiO\A,]AIZuOp*jCce%z3Q(%;AwEugM<*#~>Ag*5vi`ru`X\,1,2,1,-1,reset
$2g6h{z4H$ d0xDx2i{DJnGA=p\<FoPpFJiO\A,]AIZuOp*jCce%z3Q(%;AwEugM<*#~>Ag*5vi`ru`X\,2,1,3,2,skip
$2g6h{z4H$ d0xDx2i{DJnGA=p\<FoPpFJiO\A,]AIZuOp*jCce%z3Q(%;AwEugM<*#~>Ag*5vi`ru`X\,4,4,6,2,skip
"$8f896p/[xy39{#PSd6X'K,a|}~,E%p1K(E^jn","IP-4v) EtxC1-6%`THnY{P7?g8co.""-Q=0=N LP[0K",2,2,4,2,skip
"$HE0jxvg/u3~iQ6U*e{0j#/^x3,""Dxw';'IxGQ",4!%SoNP]a*%=Q]g8X8AVB7[J(eXEaZS16~{#+Qgvtb,8,7,9,2,skip
$LR))+9Q-{!7O(>ETx W<z^a=s$1Mtwt/QG*Zx,"<Ft?6AZAKGdIE@>:L|$X,k""w<Cn.h/F*jy7ptvaYIW",1,2,4,2,skip
$LR))+9Q-{!7O(>ETx W<z^a=s$1Mtwt/QG*Zx,"<Ft?6AZAKGdIE@>:L|$X,k""w<Cn.h/F*jy7ptvaYIW",3,5,7,2,skip
$NlurlA>{0raX*K>eHjVh}Dmm+*amMjUPgm)Ne,2*`)Gb0'bE0Ss.(3~A4pjs(0kw^[pavR%JJ;Hsy<$L,5,5,7,2,skip
$Pg4%3Cq.7V`?pCUTexA>yl3DT$?JX7h}x'eLx,If9$xqlstwn9embaJ1L/7S8Q[*680j;FN}BAQo:3[!,2,2,4,2,skip
"$QVn|#\)2+.$i""lcTLo'dmLAW*RskKawEKgW3K",Lkl%_k`=__%G5.B0UT-_.v%l tK}WuUE6dpA14=zXh,2,2,4,2,skip
"$QVn|#\)2+.$i""lcTLo'dmLAW*RskKawEKgW3K",Lkl%_k`=__%G5.B0UT-_.v%l tK}WuUE6dpA14=zXh,3,4,6,2,skip
