ts,total_requests,is_peak,matched_shows,matched_count
2024-10-04 03:03:00,3636,True,"[{'title': 'Игра миллионов', 'event_type': nan, 'channel_id': 1}, {'title': '""PROКонников"" Тет-а-Тет.  Братья Свиридовы', 'event_type': nan, 'channel_id': 8}, {'title': 'Тайсон Фьюри. Искупление', 'event_type': nan, 'channel_id': 7}, {'title': '""Голевая неделя. РФ"" Сезон 2024 Серия 10', 'event_type': nan, 'channel_id': 5}, {'title': 'Бильярд. BetBoom Кубок Чемпионов. 1/2 финала. Трансляция из Москвы', 'event_type': 'Кубок чемпионов', 'channel_id': 9}, {'title': 'Что за спорт? (Вода. Мотор. Спорт)', 'event_type': nan, 'channel_id': 12}, {'title': 'МИР Российская Премьер-лига. Тур 10. ""Факел"" - ""Рубин""', 'event_type': 'Чемпионат России', 'channel_id': 5}, {'title': 'Новости футбола Серия 728', 'event_type': nan, 'channel_id': 2}, {'title': 'Новости футбола Серия 729', 'event_type': nan, 'channel_id': 4}, {'title': 'Чемпионат Испании. ""Вальядолид"" - ""Мальорка""', 'event_type': 'Чемпионат Испании', 'channel_id': 3}, {'title': 'Гандбол. Чемпионат России. OLIMPBET Суперлига. Женщины. ЦСКА - ""Черноморочка"" (Новороссийск)', 'event_type': 'Чемпионат России', 'channel_id': 10}, {'title': 'Автоспорт. Российская Дрифт серия ""Европа"". Трансляция из Рязани', 'event_type': 'Всероссийские Соревнования', 'channel_id': 13}]",12
2024-10-04 03:29:00,2974,True,"[{'title': 'Игра миллионов', 'event_type': nan, 'channel_id': 1}, {'title': '""PROКонников"" Тет-а-Тет.  Братья Свиридовы', 'event_type': nan, 'channel_id': 8}, {'title': 'Тайсон Фьюри. Искупление', 'event_type': nan, 'channel_id': 7}, {'title': 'Бильярд. BetBoom Кубок Чемпионов. 1/2 финала. Трансляция из Москвы', 'event_type': 'Кубок чемпионов', 'channel_id': 9}, {'title': 'Что за спорт? (Вода. Мотор. Спорт)', 'event_type': nan, 'channel_id': 12}, {'title': 'МИР Российская Премьер-лига. Тур 10. ""Факел"" - ""Рубин""', 'event_type': 'Чемпионат России', 'channel_id': 5}, {'title': 'Чемпионат Италии. ""Милан"" - ""Лечче""', 'event_type': 'Чемпионат Италии', 'channel_id': 2}, {'title': 'Чемпионат Испании. ""Вальядолид"" - ""Мальорка""', 'event_type': 'Чемпионат Испании', 'channel_id': 3}, {'title': 'Гандбол. Чемпионат России. OLIMPBET Суперлига. Женщины. ЦСКА - ""Черноморочка"" (Новороссийск)', 'event_type': 'Чемпионат России', 'channel_id': 10}, {'title': 'Чемпионат Турции. ""Кайсериспор"" - ""Бешикташ""', 'event_type': nan, 'channel_id': 4}, {'title': 'Автоспорт. Российская Дрифт серия ""Европа"". Трансляция из Рязани', 'event_type': 'Всероссийские Соревнования', 'channel_id': 13}]",11
2024-10-04 03:35:00,1931,True,"[{'title': 'Тверь', 'event_type': nan, 'channel_id': 12}, {'title': '""PROКонников"" Тет-а-Тет.  Братья Свиридовы', 'event_type': nan, 'channel_id': 8}, {'title': 'Тайсон Фьюри. Искупление', 'event_type': nan, 'channel_id': 7}, {'title': 'Бильярд. BetBoom Кубок Чемпионов. 1/2 финала. Трансляция из Москвы', 'event_type': 'Кубок чемпионов', 'channel_id': 9}, {'title': 'МИР Российская Премьер-лига. Тур 10. ""Факел"" - ""Рубин""', 'event_type': 'Чемпионат России', 'channel_id': 5}, {'title': 'Большой хоккей (сезон 2024-2025) Серия 5', 'event_type': nan, 'channel_id': 1}, {'title': 'Чемпионат Италии. ""Милан"" - ""Лечче""', 'event_type': 'Чемпионат Италии', 'channel_id': 2}, {'title': 'Чемпионат Испании. ""Вальядолид"" - ""Мальорка""', 'event_type': 'Чемпионат Испании', 'channel_id': 3}, {'title': 'Гандбол. Чемпионат России. OLIMPBET Суперлига. Женщины. ЦСКА - ""Черноморочка"" (Новороссийск)', 'event_type': 'Чемпионат России', 'channel_id': 10}, {'title': 'Чемпионат Турции. ""Кайсериспор"" - ""Бешикташ""', 'event_type': nan, 'channel_id': 4}, {'title': 'Автоспорт. Российская Дрифт серия ""Европа"". Трансляция из Рязани', 'event_type': 'Всероссийские Соревнования', 'channel_id': 13}]",11
2024-10-04 03:49:00,1923,True,"[{'title': 'Тверь', 'event_type': nan, 'channel_id': 12}, {'title': 'Тайсон Фьюри. Искупление', 'event_type': nan, 'channel_id': 7}, {'title': 'Бильярд. BetBoom Кубок Чемпионов. 1/2 финала. Трансляция из Москвы', 'event_type': 'Кубок чемпионов', 'channel_id': 9}, {'title': 'МИР Российская Премьер-лига. Тур 10. ""Факел"" - ""Рубин""', 'event_type': 'Чемпионат России', 'channel_id': 5}, {'title': 'Большой хоккей (сезон 2024-2025) Серия 5', 'event_type': nan, 'channel_id': 1}, {'title': 'Обратный отсчет"" Серия 36', 'event_type': nan, 'channel_id': 8}, {'title': 'Чемпионат Италии. ""Милан"" - ""Лечче""', 'event_type': 'Чемпионат Италии', 'channel_id': 2}, {'title': 'Чемпионат Испании. ""Вальядолид"" - ""Мальорка""', 'event_type': 'Чемпионат Испании', 'channel_id': 3}, {'title': 'Гандбол. Чемпионат России. OLIMPBET Суперлига. Женщины. ЦСКА - ""Черноморочка"" (Новороссийск)', 'event_type': 'Чемпионат России', 'channel_id': 10}, {'title': 'Чемпионат Турции. ""Кайсериспор"" - ""Бешикташ""', 'event_type': nan, 'channel_id': 4}, {'title': 'Автоспорт. Российская Дрифт серия ""Европа"". Трансляция из Рязани', 'event_type': 'Всероссийские Соревнования', 'channel_id': 13}]",11
2024-10-04 03:13:00,1854,True,"[{'title': 'Игра миллионов', 'event_type': nan, 'channel_id': 1}, {'title': '""PROКонников"" Тет-а-Тет.  Братья Свиридовы', 'event_type': nan, 'channel_id': 8}, {'title': 'Тайсон Фьюри. Искупление', 'event_type': nan, 'channel_id': 7}, {'title': '""Голевая неделя. РФ"" Сезон 2024 Серия 10', 'event_type': nan, 'channel_id': 5}, {'title': 'Бильярд. BetBoom Кубок Чемпионов. 1/2 финала. Трансляция из Москвы', 'event_type': 'Кубок чемпионов', 'channel_id': 9}, {'title': 'Что за спорт? (Вода. Мотор. Спорт)', 'event_type': nan, 'channel_id': 12}, {'title': 'МИР Российская Премьер-лига. Тур 10. ""Факел"" - ""Рубин""', 'event_type': 'Чемпионат России', 'channel_id': 5}, {'title': 'Чемпионат Италии. ""Милан"" - ""Лечче""', 'event_type': 'Чемпионат Италии', 'channel_id': 2}, {'title': 'Чемпионат Испании. ""Вальядолид"" - ""Мальорка""', 'event_type': 'Чемпионат Испании', 'channel_id': 3}, {'title': 'Гандбол. Чемпионат России. OLIMPBET Суперлига. Женщины. ЦСКА - ""Черноморочка"" (Новороссийск)', 'event_type': 'Чемпионат России', 'channel_id': 10}, {'title': 'Чемпионат Турции. ""Кайсериспор"" - ""Бешикташ""', 'event_type': nan, 'channel_id': 4}, {'title': 'Автоспорт. Российская Дрифт серия ""Европа"". Трансляция из Рязани', 'event_type': 'Всероссийские Соревнования', 'channel_id': 13}]",12
